xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
5,9,1,1,3,18,1,16,8.0,10,1.5177361965179443
25,18,21,1,21,25,26,16,19.5,21,3.4060022830963135
21,1,25,18,26,16,21,25,19.5,21,3.4060022830963135
21,9,30,19,29,15,16,8,20.5,12,3.4403882026672363
30,19,21,9,16,8,29,15,20.5,12,3.4403882026672363
13,21,26,24,16,26,21,0,26.5,31,4.92152214050293
26,24,13,21,21,0,16,26,26.5,31,4.92152214050293
30,9,1,30,5,6,25,6,39.0,45,7.508265972137451
1,30,30,9,25,6,5,6,39.0,45,7.508265972137451
6,4,11,30,25,10,10,12,28.0,31,5.018590927124023
11,30,6,4,10,12,25,10,28.0,31,5.018590927124023
10,11,29,25,23,18,12,28,28.0,22,5.089777946472168
29,25,10,11,12,28,23,18,28.0,22,5.089777946472168
26,16,25,14,27,11,28,0,8.5,8,1.8079428672790527
25,14,26,16,28,0,27,11,8.5,8,1.8079428672790527
7,19,29,16,29,17,5,6,36.0,32,6.11446475982666
29,16,7,19,5,6,29,17,36.0,32,6.11446475982666
25,20,6,26,30,4,29,12,24.0,27,5.5131072998046875
6,26,25,20,29,12,30,4,24.0,27,5.5131072998046875
29,25,27,10,20,12,0,22,28.5,30,4.699678897857666
27,10,29,25,0,22,20,12,28.5,30,4.699678897857666
25,7,25,23,6,31,8,15,24.0,28,4.3079750537872314
25,23,25,7,8,15,6,31,24.0,28,4.3079750537872314
23,6,19,0,31,28,12,22,18.5,24,3.5505459308624268
19,0,23,6,12,22,31,28,18.5,24,3.5505459308624268
11,0,14,27,12,1,29,3,30.5,34,5.125103235244751
14,27,11,0,29,3,12,1,30.5,34,5.125103235244751
23,2,18,10,2,28,27,17,27.5,35,5.596021890640259
18,10,23,2,27,17,2,28,27.5,35,5.596021890640259
28,6,19,20,3,8,24,31,35.5,30,7.015690088272095
19,20,28,6,24,31,3,8,35.5,30,7.015690088272095
5,19,2,18,8,5,8,13,15.0,12,8.434004783630371
2,18,5,19,8,13,8,5,15.0,12,8.434004783630371
21,17,7,12,31,3,1,16,33.0,32,6.102946043014526
7,12,21,17,1,16,31,3,33.0,32,6.102946043014526
4,8,22,17,19,1,3,20,36.0,34,6.6614789962768555
22,17,4,8,3,20,19,1,36.0,34,6.6614789962768555
9,17,19,8,24,26,14,28,18.5,21,3.097834825515747
19,8,9,17,14,28,24,26,18.5,21,3.097834825515747
7,30,25,24,16,5,14,8,15.5,25,3.4061808586120605
25,24,7,30,14,8,16,5,15.5,25,3.4061808586120605
16,21,23,20,15,14,11,27,14.5,14,3.0275988578796387
23,20,16,21,11,27,15,14,14.5,14,3.0275988578796387
16,17,29,5,18,9,27,31,29.0,27,4.7602338790893555
29,5,16,17,27,31,18,9,29.0,27,4.7602338790893555
14,1,28,27,13,24,6,7,34.0,38,6.310609817504883
28,27,14,1,6,7,13,24,34.0,38,6.310609817504883
4,2,18,7,27,4,12,5,21.5,18,3.7982499599456787
18,7,4,2,12,5,27,4,21.5,18,3.7982499599456787
13,20,5,7,19,14,9,8,19.5,17,2.9704859256744385
5,7,13,20,9,8,19,14,19.5,17,2.9704859256744385
31,8,20,16,21,15,1,19,23.5,26,3.8453257083892822
20,16,31,8,1,19,21,15,23.5,26,3.8453257083892822
27,24,3,26,14,30,12,9,32.5,30,11.524317979812622
3,26,27,24,12,9,14,30,32.5,30,11.524317979812622
31,1,20,21,7,1,8,5,18.0,31,4.039353847503662
20,21,31,1,8,5,7,1,18.0,31,4.039353847503662
26,18,20,14,17,7,9,19,15.0,19,2.8908309936523438
20,14,26,18,9,19,17,7,15.0,19,2.8908309936523438
0,5,11,16,30,25,27,18,19.0,21,3.0605201721191406
11,16,0,5,27,18,30,25,19.0,21,3.0605201721191406
16,15,1,5,9,0,21,12,24.5,23,3.5723090171813965
1,5,16,15,21,12,9,0,24.5,23,3.5723090171813965
17,4,13,4,19,29,13,10,15.5,23,3.7399890422821045
13,4,17,4,13,10,19,29,15.5,23,3.7399890422821045
25,5,25,21,23,9,20,11,12.5,17,2.6378700733184814
25,21,25,5,20,11,23,9,12.5,17,2.6378700733184814
6,17,28,28,20,27,29,22,24.5,14,4.783669948577881
28,28,6,17,29,22,20,27,24.5,14,4.783669948577881
1,27,21,9,9,6,31,26,41.0,41,6.251460075378418
21,9,1,27,31,26,9,6,41.0,41,6.251460075378418
21,23,10,26,12,25,17,13,18.5,17,2.962308883666992
10,26,21,23,17,13,12,25,18.5,17,2.962308883666992
28,27,4,17,3,5,20,14,34.0,34,5.759519100189209
4,17,28,27,20,14,3,5,34.0,34,5.759519100189209
10,26,14,22,14,19,28,2,21.5,25,4.416995048522949
14,22,10,26,28,2,14,19,21.5,25,4.416995048522949
12,10,10,27,8,14,7,3,25.5,21,5.518512964248657
10,27,12,10,7,3,8,14,25.5,21,5.518512964248657
13,10,24,3,24,23,12,3,26.0,25,4.843255043029785
24,3,13,10,12,3,24,23,26.0,25,4.843255043029785
29,19,29,18,21,10,15,26,14.5,23,3.699533224105835
29,18,29,19,15,26,21,10,14.5,23,3.699533224105835
14,20,21,9,31,8,16,14,20.5,15,3.148425340652466
21,9,14,20,16,14,31,8,20.5,15,3.148425340652466
31,3,24,19,17,7,22,21,23.0,23,3.5488319396972656
24,19,31,3,22,21,17,7,23.0,23,3.5488319396972656
4,14,13,21,16,4,24,26,25.0,31,4.728878021240234
13,21,4,14,24,26,16,4,25.0,31,4.728878021240234
31,2,8,15,2,21,27,16,35.0,29,5.9246039390563965
8,15,31,2,27,16,2,21,35.0,29,5.9246039390563965
17,17,7,19,10,30,31,4,31.5,39,7.528598070144653
7,19,17,17,31,4,10,30,31.5,39,7.528598070144653
13,20,30,12,29,31,3,13,37.5,35,7.928663969039917
30,12,13,20,3,13,29,31,37.5,35,7.928663969039917
15,8,1,30,8,24,20,7,38.5,27,9.732670068740845
1,30,15,8,20,7,8,24,38.5,27,9.732670068740845
16,30,21,7,22,28,0,1,40.5,32,8.923816919326782
21,7,16,30,0,1,22,28,40.5,32,8.923816919326782
14,23,3,12,12,27,30,26,22.5,22,4.639354705810547
3,12,14,23,30,26,12,27,22.5,22,4.639354705810547
22,1,9,2,16,5,30,31,33.0,35,8.198999881744385
9,2,22,1,30,31,16,5,33.0,35,8.198999881744385
17,17,30,0,5,4,20,9,28.0,18,6.502094984054565
30,0,17,17,20,9,5,4,28.0,18,6.502094984054565
2,16,0,19,9,1,9,31,32.5,23,7.261506795883179
0,19,2,16,9,31,9,1,32.5,23,7.261506795883179
3,7,12,14,25,28,5,16,24.0,24,5.563100814819336
12,14,3,7,5,16,25,28,24.0,24,5.563100814819336
26,24,0,16,6,6,20,26,35.0,32,5.816888093948364
0,16,26,24,20,26,6,6,35.0,32,5.816888093948364
27,7,23,11,23,18,22,30,12.5,13,2.855492115020752
23,11,27,7,22,30,23,18,12.5,13,2.855492115020752
26,20,7,3,16,19,4,11,31.0,22,6.86111307144165
7,3,26,20,4,11,16,19,31.0,22,6.86111307144165
27,12,6,19,6,25,20,4,32.5,27,5.598987102508545
6,19,27,12,20,4,6,25,32.5,27,5.598987102508545
18,17,23,0,19,8,21,28,26.0,23,4.419636011123657
23,0,18,17,21,28,19,8,26.0,23,4.419636011123657
22,0,31,23,12,25,10,16,26.5,30,5.308140993118286
31,23,22,0,10,16,12,25,26.5,30,5.308140993118286
31,29,7,15,28,12,10,29,39.5,40,6.562345027923584
7,15,31,29,10,29,28,12,39.5,40,6.562345027923584
1,8,30,1,27,9,8,23,36.5,33,5.9398581981658936
30,1,1,8,8,23,27,9,36.5,33,5.9398581981658936
8,28,25,1,29,7,18,20,37.0,26,7.180231809616089
25,1,8,28,18,20,29,7,37.0,26,7.180231809616089
7,24,2,0,21,2,21,12,29.5,26,6.579919099807739
2,0,7,24,21,12,21,2,29.5,26,6.579919099807739
9,3,25,29,1,24,12,20,29.5,34,5.8482091426849365
25,29,9,3,12,20,1,24,29.5,34,5.8482091426849365
26,29,0,5,13,25,23,19,33.0,34,7.037879943847656
0,5,26,29,23,19,13,25,33.0,34,7.037879943847656
25,6,27,15,11,4,6,8,10.0,11,1.498502254486084
27,15,25,6,6,8,11,4,10.0,11,1.498502254486084
30,12,30,15,16,28,22,25,6.0,9,1.1714637279510498
30,15,30,12,22,25,16,28,6.0,9,1.1714637279510498
9,23,3,11,17,9,2,9,21.5,14,3.4997308254241943
3,11,9,23,2,9,17,9,21.5,14,3.4997308254241943
31,25,15,31,27,8,16,24,28.5,27,4.8182079792022705
15,31,31,25,16,24,27,8,28.5,27,4.8182079792022705
7,1,6,9,29,2,7,5,19.0,12,3.8330390453338623
6,9,7,1,7,5,29,2,19.0,12,3.8330390453338623
29,16,3,25,21,7,1,22,41.0,36,7.5867321491241455
3,25,29,16,1,22,21,7,41.0,36,7.5867321491241455
13,16,5,23,26,30,11,22,20.0,18,3.501842975616455
