xs1,ys1,xg1,yg1,xs2,ys2,xg2,yg2,distance,replanning count,time
23,20,6,30,19,25,12,28,18.5,19,1.9680290222167969
24,24,22,17,25,31,23,14,19.0,17,31.08110499382019
22,17,24,24,23,14,25,31,19.0,17,31.08110499382019
19,27,21,2,19,2,22,14,30.0,19,36.989365100860596
21,2,19,27,22,14,19,2,30.0,19,36.989365100860596
17,25,25,9,17,30,23,11,27.5,22,2.1690328121185303
25,9,17,25,23,11,17,30,27.5,22,2.1690328121185303
16,14,28,8,11,27,31,6,29.5,20,3.36234712600708
28,8,16,14,31,6,11,27,29.5,20,3.36234712600708
11,9,9,6,9,0,24,26,24.0,34,2.9633920192718506
9,6,11,9,24,26,9,0,24.0,34,2.9633920192718506
8,13,22,3,3,19,19,5,29.0,27,2.2458999156951904
22,3,8,13,19,5,3,19,29.0,27,2.2458999156951904
17,17,6,4,31,12,0,2,34.5,21,5.351712942123413
6,4,17,17,0,2,31,12,34.5,21,5.351712942123413
31,9,25,6,20,16,24,2,16.5,11,7.015588760375977
25,6,31,9,24,2,20,16,16.5,11,7.015588760375977
19,17,27,7,28,10,13,29,27.0,20,2.5901741981506348
27,7,19,17,13,29,28,10,27.0,20,2.5901741981506348
11,20,8,9,7,16,13,9,13.5,14,1.1659870147705078
8,9,11,20,13,9,7,16,13.5,14,1.1659870147705078
26,0,20,28,0,5,8,3,27.0,39,2.972677230834961
20,28,26,0,8,3,0,5,27.0,39,2.972677230834961
14,27,14,31,13,30,0,20,14.5,20,1.644029140472412
14,31,14,27,0,20,13,30,14.5,20,1.644029140472412
13,14,12,7,9,12,28,17,18.0,23,2.191107988357544
12,7,13,14,28,17,9,12,18.0,23,2.191107988357544
26,31,10,3,2,0,18,25,43.5,28,3.6345460414886475
10,3,26,31,18,25,2,0,43.5,28,3.6345460414886475
4,23,0,19,21,28,26,3,20.0,27,2.2111620903015137
0,19,4,23,26,3,21,28,20.0,27,2.2111620903015137
18,7,26,22,25,7,29,20,21.0,20,3.6148569583892822
26,22,18,7,29,20,25,7,21.0,20,3.6148569583892822
26,0,8,16,22,18,28,0,30.0,26,2.694823980331421
8,16,26,0,28,0,22,18,30.0,26,2.694823980331421
24,26,25,25,31,0,14,22,22.5,35,3.319902181625366
25,25,24,26,14,22,31,0,22.5,35,3.319902181625366
23,5,20,28,12,30,1,28,24.5,26,2.890454053878784
20,28,23,5,1,28,12,30,24.5,26,2.890454053878784
16,25,24,2,15,12,21,7,27.0,18,5.3536388874053955
24,2,16,25,21,7,15,12,27.0,18,5.3536388874053955
19,26,29,30,7,23,18,29,15.5,9,1.2866768836975098
29,30,19,26,18,29,7,23,15.5,9,1.2866768836975098
4,12,12,24,19,27,11,19,18.0,15,1.6148910522460938
12,24,4,12,11,19,19,27,18.0,15,1.6148910522460938
12,14,13,15,5,14,29,13,15.5,20,1.961474895477295
13,15,12,14,29,13,5,14,15.5,20,1.961474895477295
0,9,5,17,13,24,9,12,14.5,14,1.1987929344177246
5,17,0,9,9,12,13,24,14.5,14,1.1987929344177246
