xs1,ys1,xg1,yg1,distance,replanning count,time
11,0,25,14,30,28,4.035301208496094
23,31,9,22,25,22,3.5390942096710205
11,16,28,27,32,24,4.216769695281982
5,16,6,30,21,14,2.8962340354919434
17,2,27,5,13,12,1.790909767150879
15,11,29,31,44,26,6.249265909194946
18,7,5,2,24,14,3.150820016860962
14,1,27,15,27,25,3.8422112464904785
6,30,11,3,36,34,4.803509950637817
30,13,21,20,20,17,2.5942270755767822
12,11,21,23,21,19,2.81681489944458
26,28,4,25,35,26,5.718918800354004
16,31,12,3,40,38,5.355226993560791
17,21,24,7,25,23,3.36397123336792
29,28,25,10,26,25,3.494218111038208
25,6,6,0,27,23,3.7896640300750732
10,12,25,15,20,18,2.815690040588379
30,7,14,25,36,34,5.004065036773682
18,12,26,23,21,19,2.828572988510132
23,24,28,4,29,25,3.850261926651001
8,18,5,20,5,5,0.623028039932251
12,25,30,31,30,18,4.2949888706207275
27,12,12,26,31,28,4.160285234451294
11,20,10,17,4,4,0.5143086910247803
22,28,27,22,11,10,1.414696216583252
5,14,22,1,32,27,4.404335260391235
6,19,15,13,15,14,2.1671218872070312
21,5,9,20,27,27,3.718810796737671
28,4,26,13,13,12,1.8433022499084473
26,31,27,15,19,18,2.6367790699005127
2,25,28,19,36,33,5.218486070632935
9,6,10,4,3,3,0.40553879737854004
22,6,21,30,29,25,4.167968988418579
0,3,11,20,28,27,3.8892548084259033
0,5,19,10,26,25,3.5864040851593018
27,8,8,15,28,28,4.083154916763306
19,0,26,5,12,11,1.6134061813354492
15,18,17,15,5,5,0.7527079582214355
9,3,20,22,30,29,4.0260279178619385
29,2,22,26,35,33,4.8738720417022705
0,19,15,17,23,21,3.2233541011810303
29,21,14,7,29,28,3.9227328300476074
1,24,24,23,28,26,3.687241792678833
29,25,9,1,50,41,6.898355960845947
2,27,15,23,21,20,2.8626370429992676
9,19,10,30,22,8,2.9821691513061523
25,9,7,25,34,34,4.661387920379639
29,16,23,18,8,8,1.0719680786132812
22,7,17,16,14,14,1.9197750091552734
31,30,0,9,52,44,7.3446290493011475
18,26,26,17,17,14,2.2612791061401367
10,5,21,17,23,22,3.286044120788574
20,12,27,10,11,9,1.3927710056304932
3,7,6,0,10,6,1.3524799346923828
16,7,17,30,34,26,4.92828893661499
20,3,3,0,22,19,2.928831100463867
23,6,21,27,27,24,3.615460157394409
5,26,3,10,30,25,6.468111991882324
3,7,19,8,23,23,3.283210039138794
29,15,7,18,27,27,3.7919507026672363
17,20,6,25,16,16,2.288127899169922
11,0,9,2,4,4,0.5091681480407715
9,21,9,4,21,19,2.9649999141693115
18,3,10,24,31,29,4.436059951782227
10,15,18,9,16,15,2.1117067337036133
17,1,15,7,8,8,1.007554054260254
27,15,27,5,12,11,1.6551601886749268
10,13,8,16,5,5,0.7773687839508057
30,31,31,9,35,28,5.659386873245239
0,31,31,1,63,47,9.016146898269653
5,23,14,26,22,19,2.8919379711151123
3,12,1,5,9,5,1.150609016418457
4,30,14,20,20,19,2.6762771606445312
17,18,22,5,22,20,3.0635950565338135
22,20,28,27,13,7,1.6533739566802979
