14,24,21,2,13,1,23,9,25.5,19,4.497875213623047
11,30,23,19,6,30,17,24,20.0,21,3.040318250656128
29,7,23,24,22,7,31,6,18.5,23,3.2247800827026367
25,18,27,16,18,16,0,11,13.5,18,2.858271837234497
27,31,16,18,28,18,14,19,23.5,23,100.47610306739807
29,28,22,12,29,0,27,10,19.5,20,3.456397771835327
0,26,17,25,18,7,23,27,26.5,25,4.396537780761719
13,24,25,15,17,16,18,5,19.5,21,3.902686834335327
27,29,31,25,18,20,1,4,22.5,28,5.420303106307983
0,1,30,14,4,7,2,8,26.0,36,6.981054306030273
22,16,19,26,25,17,28,6,13.5,14,2.5739989280700684
7,7,28,4,29,15,7,8,29.5,24,6.575649976730347
0,1,6,9,23,5,24,0,11.0,14,3.006078004837036
2,24,12,1,15,26,20,25,20.5,33,5.353333950042725
23,11,12,14,14,23,10,3,20.0,23,3.8505759239196777
14,27,24,0,12,6,26,27,39.0,32,6.398758172988892
29,21,1,3,19,31,25,11,41.0,39,7.304197072982788
27,5,19,8,4,27,3,23,9.0,9,1.6954338550567627
14,2,30,3,24,9,7,19,25.0,26,4.014882802963257
5,7,20,14,18,0,11,11,21.0,21,3.493636131286621
31,8,17,9,5,5,5,13,13.5,14,2.315851926803589
14,19,21,25,31,30,10,31,21.5,14,4.208576202392578
30,21,21,29,21,14,5,7,23.0,26,4.357038974761963
18,31,8,23,8,29,23,6,30.0,36,5.87644624710083
11,25,4,11,1,29,23,12,32.0,35,5.819542169570923
6,8,15,26,12,14,6,4,23.5,22,4.414261817932129
7,18,9,5,18,5,6,8,19.0,11,3.1259050369262695
19,6,16,28,29,8,25,23,30.0,29,5.233155012130737
28,2,18,28,21,18,0,12,37.5,38,7.081287860870361
22,18,14,26,24,15,5,13,21.5,27,4.145510911941528
4,29,27,12,3,13,5,16,23.5,39,5.836338043212891
29,0,30,4,7,27,22,26,17.5,28,3.784398078918457
29,12,19,6,10,12,28,0,23.0,12,4.0133819580078125
5,7,11,11,31,8,27,21,14.5,19,2.590756893157959
22,0,2,27,31,16,22,10,38.0,39,9.795820236206055
15,0,12,9,7,0,29,19,28.5,40,6.332032918930054
5,16,17,27,18,17,13,19,15.0,18,3.268512010574341
23,6,17,3,5,16,10,5,13.5,15,2.547175884246826
30,12,4,27,16,7,24,15,33.5,40,8.200145959854126
13,3,27,17,8,5,19,26,31.0,30,5.39611291885376
20,24,17,14,17,27,9,19,14.5,16,2.6297500133514404
24,25,25,11,19,30,5,22,21.5,23,3.429154634475708
30,31,25,22,10,29,7,12,21.0,27,4.189539909362793
1,26,0,7,14,4,18,15,24.5,24,5.090353965759277
12,1,27,13,24,23,2,24,29.0,25,4.335706949234009
